"ID","Business_Sourced"
"FIN1009528",0.409764203373725
"FIN1009529",0.314695552555002
"FIN1009530",0.363717452050996
"FIN1009531",0.408121144690367
"FIN1009532",0.158
"FIN1009533",0.377917267267267
"FIN1009534",0.294066666666667
"FIN1009535",0.339463383838384
"FIN1009536",0.278
"FIN1009537",0.325112369376804
"FIN1009538",0.396502476508998
"FIN1009539",0.38473359913424
"FIN1009540",0.54328528418662
"FIN1009541",0.381910551512856
"FIN1009542",0.336344289654112
"FIN1009543",0.358462880726747
"FIN1009544",0.765109405258824
"FIN1009545",0.426304063457302
"FIN1009546",0.286916666666667
"FIN1009547",0.176666666666667
"FIN1009548",0.436577156683803
"FIN1009549",0.172783333333333
"FIN1009550",0.388879188712522
"FIN1009551",0.763634263733682
"FIN1009552",0.412080066019307
"FIN1009553",0.388667856536948
"FIN1009554",0.776167516591935
"FIN1009555",0.381413967096386
"FIN1009556",0.490583333333333
"FIN1009557",0.295449480871185
"FIN1009558",0.396842156862745
"FIN1009559",0.4326261653855
"FIN1009560",0.442066666666667
"FIN1009561",0.372230442740837
"FIN1009562",0.355530782616077
"FIN1009563",0.469344129489834
"FIN1009564",0.612109768784187
"FIN1009565",0.368303658992437
"FIN1009566",0.454962801624848
"FIN1009567",0.517422619047619
"FIN1009568",0.374467466152737
"FIN1009569",0.352515126137364
"FIN1009570",0.405552510026251
"FIN1009571",0.33570043842242
"FIN1009572",0.394006827416563
"FIN1009573",0.373048179202467
"FIN1009574",0.384508477413997
"FIN1009575",0.414268087845815
"FIN1009576",0.407963115464075
"FIN1009577",0.381773763327599
"FIN1009578",0.456195683134203
"FIN1009579",0.391851435814015
"FIN1009580",0.427291918341386
"FIN1009581",0.438398109777121
"FIN1009582",0.417545296949552
"FIN1009583",0.366464973765368
"FIN1009584",0.436445191420084
"FIN1009585",0.48979145021645
"FIN1009586",0.440178465346842
"FIN1009587",0.368600436206293
"FIN1009588",0.426719046283356
"FIN1009589",0.434980900645844
"FIN1009590",0.355325171684331
"FIN1009591",0.395554545454545
"FIN1009592",0.410219789534733
"FIN1009593",0.442196020874103
"FIN1009594",0.413244160609136
"FIN1009595",0.456465766656108
"FIN1009596",0.256212121212121
"FIN1009597",0.338211947619149
"FIN1009598",0.371697445758433
"FIN1009599",0.263109431499873
"FIN1009600",0.428653846153846
"FIN1009601",0.393529153370947
"FIN1009602",0.429495423185983
"FIN1009603",0.371871924470943
"FIN1009604",0.512575716934257
"FIN1009605",0.378401428929258
"FIN1009606",0.391442600628523
"FIN1009607",0.459833333333333
"FIN1009608",0.308222222222222
